MinTemp,MaxTemp,Lluvia,Evaporacion,Sol,VelRafaga,Vel9am,Vel3pm,Hum9am,Hum3pm,Pres9am,Pre3pm,Nub9am,Nub3pm,Temp9am,Temp3pm,LluviaHoy,LluviaMan,Koppen,Estacion
11.2,19.5,1,6,2.6,56,33,33,84,90,1008.7,1012.9,8,7,17.4,16.3,No,Yes,Temperate,Otoño
9.5,21.6,2,2.4,11,43,15,20,73,59,1013.8,1010.4,3,2,17.5,20.6,Yes,Yes,Subtropical,Primavera
7.2,20.6,0,7.2,10.6,50,17,28,46,32,1022.7,1020,3,2,13.1,19.7,No,No,Temperate,Verano
20.4,28.1,0,6.4,9.1,31,7,17,71,66,1017.6,1013.6,7,2,25,26.6,No,No,Temperate,Primavera
21.3,32.5,0,9,10.2,54,13,41,56,53,1015.5,1012.4,3,6,28.4,28.2,No,No,Subtropical,Primavera
12.4,23.4,0,2.6,6.8,19,6,6,65,56,1020.8,1017.9,6,7,19.4,22.4,No,Yes,Subtropical,Otoño
4.1,27.1,0,6.6,10.1,54,6,26,70,21,1019.6,1011.8,0,1,13.8,26.6,No,No,Temperate,Primavera
22.2,34.9,0,5.6,10.8,39,20,20,58,46,1016.3,1012,1,2,27.3,32.6,No,No,Temperate,Otoño
28.8,45.4,0,17,8.8,56,15,15,13,6,1008.2,1004.4,1,6,37.3,43.3,No,No,Temperate,Primavera
16.4,36.8,0,9.4,11.4,31,9,6,30,16,1017.3,1012.5,0,1,28.6,35.7,No,No,Grassland,Otoño
20.6,29.7,0,11.2,12.2,39,19,30,47,48,1016.3,1012.7,1,1,27.4,28.3,No,No,Temperate,Primavera
11.3,16.9,0,2.6,0.3,28,9,19,64,62,1027.8,1025.9,8,7,13.9,15.3,No,No,Temperate,Otoño
13.7,26.5,0,8,4,52,7,28,56,65,1021.3,1018.8,2,7,22.3,25.2,No,No,Temperate,Otoño
19.7,27.3,0.2,4.2,3.2,54,11,17,78,71,1010.3,1006.6,7,7,23.2,25.7,No,No,Subtropical,Verano
19.9,30.3,0,9,12.1,37,19,22,50,43,1015.5,1012.5,1,1,27.2,29.3,No,No,Temperate,Primavera
7.1,18,0,2.8,10,26,6,19,91,98,1018.2,1015.7,3,1,13.2,15.5,No,No,Temperate,Primavera
14.5,21.2,14.2,2.8,0,69,31,41,91,81,1014.3,1006.4,8,8,18,19.6,Yes,No,Subtropical,Primavera
8.1,10.7,3,3,1.3,50,19,4,74,88,998.3,998.8,7,8,8.8,9,Yes,Yes,Temperate,Invierno
18.3,23.3,11,5.2,10,43,26,31,61,61,1015.4,1015.4,3,3,20.5,21.5,Yes,No,Subtropical,Otoño
12.3,20.6,0,12.4,10.4,43,11,17,70,41,1017.2,1020.2,1,5,14.8,19.7,No,No,Temperate,Otoño
9,19.6,7.2,6.6,10,44,31,28,61,40,1017.3,1018.1,5,6,13.2,18.2,Yes,No,Temperate,Verano
10.5,17.1,0,3,4.3,54,20,35,76,75,1018,1016.4,8,8,13.1,15.2,No,No,Temperate,Primavera
10.5,21.2,0.4,2.8,3.4,37,11,20,74,49,1022,1018.6,7,4,16.5,20.8,No,Yes,Subtropical,Primavera
